category,model_type,dataset_mode,training_mode,darcy_weight,run_name,best_state_path,final_state_path,history_csv_path,history_pt_path,summary_json_path,has_best_state,has_final_state,has_history_csv,has_history_pt,has_summary_json,complete_core
quick_thin_darcy_sweep,splitnet_attn,border,physics_limited,0.0,border_physics_limited_splitnet_attn_darcy_0p0,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p0_best_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p0_final_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p0_history.csv,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p0_history.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p0_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border,physics_limited,0.001,border_physics_limited_splitnet_attn_darcy_0p001,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p001_best_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p001_final_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p001_history.csv,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p001_history.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p001_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border,physics_limited,0.01,border_physics_limited_splitnet_attn_darcy_0p01,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p01_best_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p01_final_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p01_history.csv,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p01_history.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p01_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border,physics_limited,0.1,border_physics_limited_splitnet_attn_darcy_0p1,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p1_best_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p1_final_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p1_history.csv,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p1_history.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_0p1_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border,physics_limited,1.0,border_physics_limited_splitnet_attn_darcy_1p0,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_1p0_best_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_1p0_final_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_1p0_history.csv,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_1p0_history.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_1p0_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border,physics_limited,10.0,border_physics_limited_splitnet_attn_darcy_10p0,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_10p0_best_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_10p0_final_state.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_10p0_history.csv,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_10p0_history.pt,recent_analysis\physics_tests\border\border_physics_limited_splitnet_attn_darcy_10p0_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border_pressure,physics_limited,0.0,border_pressure_physics_limited_splitnet_attn_darcy_0p0,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p0_best_state.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p0_final_state.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p0_history.csv,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p0_history.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p0_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border_pressure,physics_limited,0.001,border_pressure_physics_limited_splitnet_attn_darcy_0p001,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p001_best_state.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p001_final_state.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p001_history.csv,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p001_history.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p001_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border_pressure,physics_limited,0.01,border_pressure_physics_limited_splitnet_attn_darcy_0p01,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p01_best_state.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p01_final_state.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p01_history.csv,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p01_history.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p01_summary.json,True,True,True,True,True,True
quick_thin_darcy_sweep,splitnet_attn,border_pressure,physics_limited,0.1,border_pressure_physics_limited_splitnet_attn_darcy_0p1,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p1_best_state.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p1_final_state.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p1_history.csv,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p1_history.pt,recent_analysis\physics_tests\border_pressure\border_pressure_physics_limited_splitnet_attn_darcy_0p1_summary.json,True,True,True,True,True,True
